"facebookUrl","text","date","likesCount","commentsCount","isRecommended"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Điểm tham quan rất ấn tượng, đáng để trải nghiệm.  Còn fanpage FB thì chất khỏi bàn ạ!!!","2023-05-11T15:44:30.000Z","1","1","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Điểm thăm quan rất ấn tượng, nhưng khi đi xem hơi vội để kịp giờ trả tai nghe","2023-05-11T15:16:10.000Z","0","2","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","There’s nothing to say. Feel it yourself 🫂","2023-03-25T11:16:24.000Z","0","0","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Tại nhà tù Hỏa Lò, khi mình thấy hai hình ảnh đối lập giữa lịch sử tàn khốc và thái bình hiện tại, mình gần như không kìm được nước mắt. Trong giây phút khi ngồi dưới gốc cây bàng nơi cửa cống ngầm, khi ánh nắng rọi qua tán lá, gió thổi xào xạc khiến tâm mình thư thái, mình nghe thấy giọng một cậu bé tầm 5 tuổi hỏi bà: ""bà ơi, đây là cái gì?"". Người bà nhìn vào bức tường khắc những người tù bị hành hạ, nhẹ nhàng giảng giải. Cậu bé ngây thơ chỉ vào cái chân, ""Bà ơi, đây là cái chân!"". Bên tai mình là tiếng thuyết minh những nhà cách mạng vượt ngục, trước mắt mình là hình ảnh những người khốn khổ trong tù, đối lập với đó là thế giới thái bình mà bà cháu ấy, và cả mình nữa đang sống. Đôi mắt mình trở nên cay cay. Mình càng cảm thấy biết ơn ông cha, những người hi sinh bảo vệ tổ quốc biết bao. Thêm nữa, cảm ơn đội ngũ di tích Nhà tù Hỏa Lò. Mình sẽ quay lại một lần nữa, để tri ân những vị anh hùng, và sống lại một thời hào hùng quả cảm của cha ông ❤","2023-02-13T15:48:52.000Z","6","2","false"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Thực sự xúc động và biết ơn khi đến đây, 35 đoạn ghi âm thuyết minh về nhà tù Hoả Lò rất truyền cảm và hùng hồn. 1 địa chỉ không thể bỏ qua khi đến Hà Nội","2023-02-02T10:34:18.000Z","3","2","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Được chứng kiện lại những giai đoạn lịch sử , những người đã ngã xuống vì đất nước VN thật xúc động","2023-01-30T13:33:36.000Z","5","1","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Đầu năm đi tù, cả năm hòa bình, ấm no và tự do 😄","2023-01-24T13:17:08.000Z","1","0","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Mình thích máy nghe tự động thay vì Hdv giới thiệu như truyền thống. Nó khiến mình thoái mái và chủ động hơn khi đi tham quan. 
Mọi người đều vô cùng nhã nhận và lịch sự. Từ chú trông xe đến các bạn hướng dẫn. Chú trông xe còn vô cùng tinh tế khi để khăn ướt lên yên xe máy cho chúng mình vào ngày trời nắng nữa ạ.
1 điểm cộng nữa là wc khá sạch sẽ và thơm.
Vô cùng vô cùng nên đi nhé các bạn trẻ 👍👍👍","2023-01-14T10:27:39.000Z","2","2","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Đến đoạn máy chém, nghe thuyết minh xong khóc như mưa 😭 Xúc động và biết ơn vô vàn 🇻🇳🇻🇳🇻🇳","2022-11-19T12:18:24.000Z","2","0","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Một cảm xúc trào dâng hiểu hơn về lịch sử! Hiểu thêm những nỗi đau của ông cha... những con người vĩ đại viết nên lịch sử Việt Nam!
Bạn lớn nhà mình rất hào hứng và thích thú khi tìm hiểu về thông tin Di tích nhà tù Hoả Lò","2022-11-06T11:10:25.000Z","3","2","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","While impressive there is little about what happened to the US servicemen and what they do show seems to be a bit tainted to make it look very comfortable and cushy. Either way worth the visit.","2022-10-25T13:36:16.000Z","2","1","false"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","มาที่นี่เป็นครั้งที่สองแล้ว  ใครชอบศึกษาประวัติศาสตร์เวียดนาม แนะนำมาที่นี่เลย","2022-10-15T10:01:59.000Z","2","0","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","Imppresive memorial regarding the struggle for independence of the Vietnamese people.","2022-10-14T07:43:22.000Z","1","0","true"
"https://www.facebook.com/hoaloprisonrelic/?locale=vi_VN","29/09/2022- chào Thu Hà Nội!

Sáng hôm qua mình đã ghé thăm Di tích, nơi gom góp những mảnh kí ức thời xưa để lại. Mình sợ và ấn tượng nhất chiếc máy chém đầu 🥹 quá dã man, quá rùng rợn!
Nếu như chọn địa điểm để đưa những người bạn đi chơi, mình sẽ chọn Di tích!
Cảm ơn tất cả Team của Di tích đã ân cần, tận tình với tất cả chúng mình ạ!","2022-09-30T05:31:35.000Z","2","1","true"
